name,C,C++,Java,Javascript,Ruby,PHP,Python,ASP
Acton,4,0,8,2,0,4,0,5
Adair,8,6,7,4,8,5,5,6
Addie,4,7,6,8,9,6,1,4
Addison,10,9,4,1,6,9,5,1
Adeline,10,4,8,8,1,4,3,0
Adelyn,10,0,7,10,5,3,6,8
Albert,10,6,6,3,7,0,1,7
Axton,3,2,1,9,9,2,3,8
Bailey,3,1,9,6,8,6,10,3
Baker,7,4,9,8,2,0,8,3
Baldwin,5,7,5,7,4,5,9,7
Balin,7,1,9,2,4,3,8,8
Ballard,1,1,1,5,9,1,6,5
Balthasar,10,1,1,7,8,9,2,7
Banjo,10,4,8,10,10,2,3,6
Banks,0,9,8,9,2,0,10,7
Barclay,5,8,8,2,5,4,1,1
Cissy,8,6,6,4,5,5,6,3
Clare,2,9,2,10,0,2,10,1
Clarence,7,5,9,1,0,9,5,6
Clarice,7,10,2,4,6,8,10,6
Clarinda,2,4,4,3,4,5,6,5
Clark,7,0,0,5,1,6,4,8
Clarmin,10,4,8,6,1,9,3,0
Clay,10,3,4,8,8,8,2,2
Clayland,8,0,3,6,8,0,2,7
Clayne,0,1,0,4,7,10,2,0
Clayton,2,10,4,3,1,4,1,8
Cleavant,4,2,9,0,4,5,1,7
Dexter,9,7,9,4,2,6,4,6
Dexton,4,6,6,2,10,10,7,4
Dick,4,5,7,2,8,7,7,3
Digby,4,7,0,6,5,4,2,8
Dimity,9,2,4,0,7,3,0,4
Dixon,5,8,10,0,1,10,7,9
Doane,10,1,6,3,1,5,8,3
Doctor,6,2,6,6,7,7,10,10
Dominy,4,2,8,4,8,4,4,2
Ernie,3,4,3,4,7,0,9,4
Errol,1,0,6,10,1,4,7,1
Erv,6,5,4,8,8,1,1,6
Ervin,3,5,10,3,4,4,3,9
Essery,7,4,9,1,9,4,6,5
Eston,7,1,0,5,8,9,7,1
Etta,2,3,6,0,10,6,4,8
Ettian,3,10,2,2,4,0,7,6
Evans,2,7,7,8,2,0,7,10
Evelyn,8,0,3,2,3,3,9,6
Evie,6,1,5,3,8,3,4,3
Evynne,10,7,10,9,8,9,10,8
Eydie,10,1,9,5,1,6,8,4
Falcon,3,6,5,4,8,7,8,1
Fancy,0,1,8,8,7,8,7,1
Farley,4,6,3,9,8,4,4,3
Farrah,8,9,9,8,3,1,4,3
Farren,5,1,4,1,2,10,9,6
Favian,10,3,1,6,10,0,10,6
Gayle,3,2,5,5,2,6,6,7
Gaylord,10,1,8,4,9,6,4,4
Gelsey,0,7,8,10,3,1,10,6
Gene,5,7,8,9,3,2,5,9
Gent,1,9,0,1,4,7,8,4
Gentry,1,9,0,0,0,3,2,7
Geoff,8,5,3,5,2,8,8,7
Geoffrey,6,9,5,7,7,0,4,10
Hubert,8,6,8,5,9,9,8,9
Hudd,4,8,4,2,9,0,0,7
Hudson,7,2,5,8,2,9,9,2
Hunter,8,4,9,2,3,4,1,4
Huntley,0,6,1,4,4,3,4,9
Huxley,1,0,1,2,10,9,1,5
Hy,4,5,9,0,1,6,4,8
Idella,8,3,3,7,7,3,10,7
Iden,9,1,8,8,0,9,7,7
Iggy,1,6,1,9,2,1,4,4
Imogen,1,4,7,4,3,2,7,2
Ina,4,1,4,1,2,3,0,5
Isley,7,0,1,0,10,1,1,8
Ives,5,5,1,10,6,5,1,8
Ivi,4,7,10,10,0,1,2,0
Jacinda,7,9,0,7,0,8,8,0
Jack,6,7,6,8,6,3,3,6
Jamese,0,1,2,10,1,0,1,1
Jameson,1,1,10,10,7,2,7,4
Jamie,7,0,1,9,10,9,1,6
Rogue,7,2,7,2,7,0,2,5
Ronnie,4,10,6,1,5,1,4,7
Rook,8,9,8,1,6,9,0,0
Rosemary,6,4,3,3,6,10,4,8
Rosie,9,3,7,7,9,10,9,0
Rowena,5,0,10,10,1,9,8,6
Roxanne,9,7,10,10,3,8,10,7
Royce,8,6,10,0,7,3,10,5
Rubina,0,0,5,3,5,1,2,2
Rudolph,9,1,10,4,10,1,2,8
Rudyard,9,7,3,1,3,4,4,10
Rue,10,3,10,3,3,9,4,1
Rumer,7,5,3,3,7,5,4,4
Russell,2,8,1,5,2,10,10,3
Trish,10,6,6,0,10,2,10,9
